0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:48:52 +0530] "GET /ORS4/ctl/RoleCtl?id=5 HTTP/1.1" 200 5820
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:49:12 +0530] "POST /ORS4/ctl/RoleCtl HTTP/1.1" 200 5858
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:49:17 +0530] "GET /ORS4/ctl/RoleListCtl HTTP/1.1" 200 6886
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:49:24 +0530] "GET /ORS4/ctl/FacultyListCtl HTTP/1.1" 200 7730
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:50:47 +0530] "GET /ORS4/ctl/FacultyListCtl HTTP/1.1" 200 7738
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:55:33 +0530] "GET /ORS4/ctl/FacultyListCtl HTTP/1.1" 200 7742
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:55:37 +0530] "POST /ORS4/ctl/FacultyListCtl HTTP/1.1" 200 6051
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:56:29 +0530] "GET /ORS4/ctl/FacultyListCtl HTTP/1.1" 200 7865
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:56:36 +0530] "POST /ORS4/ctl/FacultyListCtl HTTP/1.1" 200 7435
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:59:03 +0530] "GET /ORS4/ctl/SubjectListCtl HTTP/1.1" 200 6179
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:59:19 +0530] "POST /ORS4/ctl/SubjectListCtl HTTP/1.1" 200 5595
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:59:22 +0530] "POST /ORS4/ctl/SubjectListCtl HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:59:27 +0530] "POST /ORS4/ctl/SubjectListCtl HTTP/1.1" 200 5200
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:59:31 +0530] "POST /ORS4/ctl/SubjectListCtl HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:59:37 +0530] "GET /ORS4/ctl/TimeTableListCtl HTTP/1.1" 200 7299
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:59:49 +0530] "POST /ORS4/ctl/TimeTableListCtl HTTP/1.1" 200 6354
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:59:55 +0530] "POST /ORS4/ctl/TimeTableListCtl HTTP/1.1" 200 6054
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:00:01 +0530] "POST /ORS4/ctl/TimeTableListCtl HTTP/1.1" 200 6354
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:00:08 +0530] "GET /ORS4/ctl/TimeTableListCtl HTTP/1.1" 200 7299
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:12 +0530] "GET /ORS4/ctl/TimeTableCtl HTTP/1.1" 200 7287
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:12 +0530] "GET /ORS4/ctl/TimeTableCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:12 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:12 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:30 +0530] "POST /ORS4/ctl/TimeTableCtl HTTP/1.1" 200 7339
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:30 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:30 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:32 +0530] "GET /ORS4/ctl/TimeTableListCtl HTTP/1.1" 200 7613
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:39 +0530] "POST /ORS4/ctl/TimeTableListCtl HTTP/1.1" 200 6352
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:42 +0530] "GET /ORS4/ctl/TimeTableCtl?id=5 HTTP/1.1" 200 7313
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:42 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:42 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:46 +0530] "GET /ORS4/ctl/CourseCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:46 +0530] "GET /ORS4/ctl/CourseCtl HTTP/1.1" 200 6024
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:46 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:47 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:49 +0530] "GET /ORS4/ctl/CourseListCtl HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:01:55 +0530] "POST /ORS4/ctl/CourseListCtl HTTP/1.1" 200 5577
